url,title,recomendacao1,recomendacao2,recomendacao3,recomendacao4,recomendacao5,recomendacao6,recomendacao7,recomendacao8,recomendacao9,recomendacao10
http://gshow.globo.com/tudo-mais/tv-e-famosos/noticia/maira-cardi-mostra-novos-prints-sobre-treta-com-mulher-de-thiago-silva.ghtml,Maira Cardi ameaça expor 'a verdade' sobre história com mulher de Thiago Silva: 'Não me desafie',Maíra Cardi X Belle Silva: entenda a treta sobre Thiago Silva ter feito (ou não) programa de emagrecimento,Maíra Cardi reafirma que Thiago Silva foi seu cliente e mostra áudio como prova,Maíra Cardi x Daniel Cady: entenda a troca de farpas entre os dois,"Maíra Cardi, Zilu Camargo e mais: veja famosos que viraram coach",Laura Cardoso recebe abraço apertado de Ingrid Guimarães no Festival de Gramado ,Mãe de Larissa Manoela responde sobre transferência de milhões da conta da filha e xingamento em mensagem,Pipoca da Ivete volta em 2ª temporada com novos quadros e convidados,Sabrina Sato e Marcelo Adnet destacam parceria em Sobre Nós Dois: 'Delicioso de fazer',"Mãe de Larissa Manoela diz que filha podia comprar o que quisesse: ‘Em qualquer valor, inclusive carro’",Claudia Ohana faz book com roupa estilosa e seguidores elogiam: 'Deusa suprema'
http://gshow.globo.com/tudo-mais/tv-e-famosos/noticia/larissa-manoela-tem-dia-de-malhacao-com-o-noivo-andre-luiz-frambach.ghtml,Larissa Manoela tem dia de malhação com o noivo André Luiz Frambach,"Mãe de Larissa Manoela, Silvana Taques diz em entrevista: 'Nunca quisemos ficar com nada dela'","Mãe de Larissa Manoela diz que filha podia comprar o que quisesse: ‘Em qualquer valor, inclusive carro’","Filho de Murilo Benício e Alessandra Negrini, Antonio Benício anima seguidores com foto sem camisa",Anitta comenta affair com Simone Susinna: ‘Pra sempre é muito forte’ ,Gil do Vigor tem carro enguiçado ao fazer confusão na hora de abastecer; veja vídeo!,Família de Neymar celebra anúncio do jogador no Al-Hilal: 'Estamos juntos' ,"Nasce filha de Bruno, do KLB, em São Paulo",Felipe Neto sai em defesa de Luísa Sonza após críticas sobre nova música,Léa Garcia estava feliz com o reconhecimento e falou sobre viver por 'mais 90 anos' em última entrevista,Mister M reencontra Cid Moreira e aparece em foto ao lado do apresentador
http://gshow.globo.com/tudo-mais/pop/noticia/dublador-de-mario-se-aposenta-de-personagem-apos-mais-de-30-anos.ghtml,Dublador de Mario se aposenta de personagem após mais de 30 anos,Matheus Nachtergaele sobre ‘O Auto da Compadecida 2’: ‘Não sei o tamanho da emoção que estou sentindo’,Lingerie no dia a dia: aprenda a montar cinco looks com peças do seu guarda-roupa íntimo,Isis Valverde brilha com calça de R$10 mil em premiére de 'Ângela': veja detalhes do look,Ronda de Looks: veja as produções que as famosas usaram durante os eventos da semana,Post de anúncio de Neymar no Ah-Hilal ultrapassa as 2 milhões de curtidas em 1 hora ,Anitta repreende fã que estaria cobrando dinheiro do público na hora da foto; veja vídeo,Veja atores que são irmãos na vida real e também na ficção,Larissa Manoela ganhou 2 milhões de seguidores após polêmica com os pais,Fuzuê: memes sobre a trama ganham redes sociais na primeira semana,Terra e Paixão: Luigi e Anely são presos
http://gshow.globo.com/tudo-mais/tv-e-famosos/noticia/mileide-mihaile-mostra-look-para-show-de-beyonce-em-miami-e-realiza-sonho-como-fa.ghtml,Mileide Mihaile mostra look para show de Beyoncé em Miami e realiza sonho como fã,Larissa Manoela tem dia de malhação com o noivo André Luiz Frambach,Gil do Vigor tem carro enguiçado ao fazer confusão na hora de abastecer; veja vídeo!,"Filho de Murilo Benício e Alessandra Negrini, Antonio Benício anima seguidores com foto sem camisa",Família de Neymar celebra anúncio do jogador no Al-Hilal: 'Estamos juntos' ,Conheça carioca de 21 anos que se tornou a primeira estudante estrangeira na Força Aérea dos EUA,"Nasce filha de Bruno, do KLB, em São Paulo",Felipe Neto sai em defesa de Luísa Sonza após críticas sobre nova música,Anitta comenta affair com Simone Susinna: ‘Pra sempre é muito forte’ ,Luccas Neto surpreende fã em tratamento contra o câncer: 'Acredite nos seus sonhos',"Hariany confirma romance com filho de Leonardo: 'Estamos ficando, nos curtindo, está leve'"
http://gshow.globo.com/tudo-mais/tv-e-famosos/noticia/mae-de-larissa-manoela-silvana-taques-diz-em-entrevista-nunca-quisemos-ficar-com-nada-dela.ghtml,"Mãe de Larissa Manoela, Silvana Taques diz em entrevista: 'Nunca quisemos ficar com nada dela'","Mãe de Larissa Manoela diz que filha podia comprar o que quisesse: ‘Em qualquer valor, inclusive carro’",Mãe de Larissa Manoela responde sobre transferência de milhões da conta da filha e xingamento em mensagem,Larissa Manoela tem dia de malhação com o noivo André Luiz Frambach,Larissa Manoela ganhou 2 milhões de seguidores após polêmica com os pais,Relembre a carreira de Larissa Manoela,"Nasce filha de Bruno, do KLB, em São Paulo",Família de Neymar celebra anúncio do jogador no Al-Hilal: 'Estamos juntos' ,Gil do Vigor tem carro enguiçado ao fazer confusão na hora de abastecer; veja vídeo!,Felipe Neto sai em defesa de Luísa Sonza após críticas sobre nova música,"Hariany confirma romance com filho de Leonardo: 'Estamos ficando, nos curtindo, está leve'"
http://gshow.globo.com/novelas/fuzue/vem-por-ai/noticia/fuzue-luna-descobre-pista-importante-sobre-o-passado-de-sua-mae-em-paraty.ghtml,Fuzuê: Luna descobre pista importante sobre o passado de sua mãe em Paraty,Fuzuê: Luna salva a vida do filho de Preciosa,Fuzuê: Luna é surpreendida por Preciosa com uma faca no meio da mata,Resumo de Fuzuê: veja os capítulos de 28 de agosto a 2 de setembro,"Fuzuê: Preciosa ameaça com faca, é atacada por gansos e desmaia ","Nasce filha de Bruno, do KLB, em São Paulo",Fuzuê: memes sobre a trama ganham redes sociais na primeira semana,Gil do Vigor tem carro enguiçado ao fazer confusão na hora de abastecer; veja vídeo!,Família de Neymar celebra anúncio do jogador no Al-Hilal: 'Estamos juntos' ,"Filho de Murilo Benício e Alessandra Negrini, Antonio Benício anima seguidores com foto sem camisa",Anitta comenta affair com Simone Susinna: ‘Pra sempre é muito forte’ 
http://gshow.globo.com/tudo-mais/tv-e-famosos/noticia/claudia-ohana-faz-book-com-roupa-estilosa-e-seguidores-elogiam-deusa-suprema.ghtml,Claudia Ohana faz book com roupa estilosa e seguidores elogiam: 'Deusa suprema',"Nasce filha de Bruno, do KLB, em São Paulo",Larissa Manoela tem dia de malhação com o noivo André Luiz Frambach,Gil do Vigor tem carro enguiçado ao fazer confusão na hora de abastecer; veja vídeo!,Família de Neymar celebra anúncio do jogador no Al-Hilal: 'Estamos juntos' ,"Filho de Murilo Benício e Alessandra Negrini, Antonio Benício anima seguidores com foto sem camisa","Sobrinha de Preta Gil, Flor Gil posta declaração após cirurgia da cantora: 'Sua força me inspira'",Felipe Neto sai em defesa de Luísa Sonza após críticas sobre nova música,Anitta comenta affair com Simone Susinna: ‘Pra sempre é muito forte’ ,Lexa pega carona no jatinho de Anitta e ganha declaração da cantora: 'Te amo',"Hariany confirma romance com filho de Leonardo: 'Estamos ficando, nos curtindo, está leve'"
http://gshow.globo.com/tudo-mais/pop/noticia/laura-cardoso-recebe-abraco-apertado-de-ingrid-guimaraes-no-festival-de-gramado.ghtml,Laura Cardoso recebe abraço apertado de Ingrid Guimarães no Festival de Gramado ,Globoplay lança 3ª coleção de NFTs do Xuxaverso com venda de 10 figurinhas inéditas,"Campo não só de morangos: veja artistas que, como Luísa Sonza, usaram frutas em seus hits",Léa Garcia estava feliz com o reconhecimento e falou sobre viver por 'mais 90 anos' em última entrevista,Flora Gil atualiza estado de saúde de Preta Gil,"Preta Gil já está em pé fazendo fisioterapia, diz Gominho",Preta Gil retira tumor cancerígeno em cirurgia e familiares aguardam retorno para o quarto,"Preta Gil se recupera bem de cirurgia de retirada de câncer, diz equipe médica: 'Acordada, em bom estado geral'","Sobrinha de Preta Gil, Flor Gil posta declaração após cirurgia da cantora: 'Sua força me inspira'",Maíra Cardi X Belle Silva: entenda a treta sobre Thiago Silva ter feito (ou não) programa de emagrecimento,Maira Cardi ameaça expor 'a verdade' sobre história com mulher de Thiago Silva: 'Não me desafie'
http://gshow.globo.com/tudo-mais/viralizou/noticia/anitta-repreende-fa-que-estaria-cobrando-dinheiro-do-publico-na-hora-da-foto-veja-video.ghtml,Anitta repreende fã que estaria cobrando dinheiro do público na hora da foto; veja vídeo,Post de anúncio de Neymar no Ah-Hilal ultrapassa as 2 milhões de curtidas em 1 hora ,Larissa Manoela ganhou 2 milhões de seguidores após polêmica com os pais,Influenciadora Camila Loures se defende de críticas após vídeo com 7 seguranças em shopping,Mileide Mihaile mostra look para show de Beyoncé em Miami e realiza sonho como fã,"Campo não só de morangos: veja artistas que, como Luísa Sonza, usaram frutas em seus hits",Pipoca da Ivete volta em 2ª temporada com novos quadros e convidados,Anitta comenta affair com Simone Susinna: ‘Pra sempre é muito forte’ ,"Filho de Murilo Benício e Alessandra Negrini, Antonio Benício anima seguidores com foto sem camisa","Sobrinha de Preta Gil, Flor Gil posta declaração após cirurgia da cantora: 'Sua força me inspira'",Fuzuê: memes sobre a trama ganham redes sociais na primeira semana
http://gshow.globo.com/novelas/fuzue/noticia/fuzue-memes-sobre-a-trama-ganham-redes-sociais-na-primeira-semana.ghtml,Fuzuê: memes sobre a trama ganham redes sociais na primeira semana,gshow em Terra e Paixão: Graça e Jonatas serão flagrados se pegando,Fuzuê: Luna é surpreendida por Preciosa com uma faca no meio da mata,"Fuzuê: Preciosa ameaça com faca, é atacada por gansos e desmaia ",Irene vibra com notícia de morte de Agatha em Terra e Paixão,Terra e Paixão: Luigi e Anely encontram tesouro em barras de ouro,Fuzuê: Luna salva a vida do filho de Preciosa,Amor Perfeito: Orlando descobre pista crucial sobre Leonel Rubião,Diogo Almeida comenta casamento de Orlando e Gilda em Amor Perfeito e derrocada da vilã: 'Esta roda vai girar',Terra e Paixão: Luigi e Anely são presos,Amor Perfeito: Jesus resgata Frei João da morte; entenda como será a cena
